conversation_id,customer_tweet_id,customer_author_id,customer_text,brand_tweet_id,brand_author_id,brand_reply,context_history,thread_length,created_at
conv_627_629,627,115827,Yeah this is crazy weâre less than a week away and still no Shipping Information on something that we Pre-ordered back in August,629,AmazonHelp,Thanks for your patience. ^KM,"[{""tweet_id"": 626, ""author_id"": ""AmazonHelp"", ""text"": ""I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ"", ""inbound"": false}]",3,Wed Nov 01 12:50:18 +0000 2017
conv_632_631,632,115829,my package was âaccidentallyâ opened.. 4 items missing worth Â£97. You need better delivery drivers!! https://t.co/f6SaVBSMqM,631,AmazonHelp,I'm sorry your order arrived in this condition! Please reach out to us for available options: https://t.co/JzP7hlA23B ^DG,[],2,Tue Oct 31 21:34:58 +0000 2017
conv_634_633,634,115831,why is my order at my local courier for the last 6 days and still hasnât been delivered to me?? Over 1 week late ð¡,633,AmazonHelp,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,[],2,Tue Oct 31 21:39:58 +0000 2017
conv_636_635,636,115832,"Thanks for the style advice, @115833 look ...I think? #Halloween2017 #flamingo https://t.co/XvI54La043",635,AmazonHelp,Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE,[],2,Tue Oct 31 22:05:36 +0000 2017
conv_638_637,638,115834,Hi ready for some help,637,AmazonHelp,Were you able to reach us at the link DW provided? ^TR,"[{""tweet_id"": 639, ""author_id"": ""AmazonHelp"", ""text"": ""The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW"", ""inbound"": false}]",3,Tue Oct 31 22:19:56 +0000 2017
conv_640_639,640,115834,Is the Echo Show no longer supported?,639,AmazonHelp,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW","[{""tweet_id"": 641, ""author_id"": ""115834"", ""text"": ""Nothing there helped me with the Echo Show"", ""inbound"": true}]",3,Tue Oct 31 01:03:01 +0000 2017
conv_643_642,643,115834,"Bought an @115821 Echo Show and it wonât recognize a single @AmazonHelp account in our household. WTF, guys?",642,AmazonHelp,"Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",[],2,Mon Oct 30 23:44:45 +0000 2017
conv_646_644,646,115835,.@AmazonHelp Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out https://t.co/42W82GcARk,644,AmazonHelp,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,[],2,Tue Oct 31 21:40:30 +0000 2017
conv_645_647,645,115835,That page is useless - doesnât allow me to state it hasnât been delivered; only tells me it has! How can you sort this out?,647,AmazonHelp,You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,"[{""tweet_id"": 644, ""author_id"": ""AmazonHelp"", ""text"": ""I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY"", ""inbound"": false}]",3,Wed Nov 01 08:04:52 +0000 2017
conv_649_648,649,115836,"In response to your @115830 packing video, this packaging was for a 2ft washing line pole @115837 https://t.co/X21SQHgC0K",648,AmazonHelp,Thanks for bringing this to our attention! Please also leave packing feedback here: https://t.co/PMiShxgPvp so we may improve.^KL,[],2,Tue Oct 31 22:17:47 +0000 2017
conv_652_650,652,115838,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,650,AmazonHelp,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,[],2,Tue Oct 31 22:11:15 +0000 2017
conv_651_653,651,115838,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",653,AmazonHelp,"Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL","[{""tweet_id"": 650, ""author_id"": ""AmazonHelp"", ""text"": ""Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH"", ""inbound"": false}]",3,Tue Oct 31 22:25:58 +0000 2017
conv_654_655,654,115838,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,655,AmazonHelp,Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,"[{""tweet_id"": 653, ""author_id"": ""AmazonHelp"", ""text"": ""Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"", ""inbound"": false}]",3,Tue Oct 31 22:53:50 +0000 2017
conv_657_656,657,115839,"Already handled, just venting. It was a pretty big bummer.",656,AmazonHelp,Let us know if thereâs anything else we can do for you! We're happy to help out any way we can! ^FR,"[{""tweet_id"": 658, ""author_id"": ""AmazonHelp"", ""text"": ""I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS"", ""inbound"": false}]",3,Tue Oct 31 22:18:42 +0000 2017
conv_659_658,659,115839,", itâd be nice if the book I waited 4 months for wasnât damaged inside of an undented box. #twinpeaks #twinâ¦ https://t.co/Lac4K7iQzJ https://t.co/JroqJKrH9Q",658,AmazonHelp,I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,[],2,Tue Oct 31 22:02:14 +0000 2017
conv_661_660,661,115840,Feliz #Halloween2017 https://t.co/edHbRDnM8x,660,AmazonHelp,Â¡Que lindoooooooooo! ðð¶ð ^JJ https://t.co/YSOVnjaPrO,"[{""tweet_id"": 662, ""author_id"": ""115841"", ""text"": ""CONCURSO \u00f0\u009f\u0091\u00bb\u00f0\u009f\u008e\u0083:Tarjetas regalo en @115821 por tu foto en la cama disfrazado y #ColchonMorfeoHalloween en los post promo:https://t.co/xAsY6KwLZa https://t.co/7yOZvlwBwN"", ""inbound"": true}]",3,Tue Oct 31 22:13:37 +0000 2017
conv_664_663,664,115842,"delivery I paid for today,didnât arrive.why not?i paid enough for it.where is it??Iâm unhappy.refund the delivery charge",663,AmazonHelp,Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B We're unable to view order details via Twitter. ^KL,[],2,Tue Oct 31 21:50:49 +0000 2017
conv_667_665,667,115843,"Anna Inspired in idea lab at school to be @115821 package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna. https://t.co/TyvKhuu7su",665,AmazonHelp,You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,[],2,Tue Oct 31 22:11:10 +0000 2017
conv_670_668,670,115844,They sent the feckin' order to Germany! Some dozy driver is looking for an address in the wrong country! I'm so done with Amazon!,668,AmazonHelp,Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,"[{""tweet_id"": 671, ""author_id"": ""115845"", ""text"": ""WHAT IN THE WORLD?!"", ""inbound"": true}]",3,Tue Oct 31 22:15:42 +0000 2017
conv_676_675,676,115846,Yeah idk the shipping company and it says âmike Ziemerâ signed for it in the mail room at our building lol,675,AmazonHelp,That's okay! Thanks for checking! Please contact us by phone or chat and we can look into this: https://t.co/hApLpMlfHN ^BN,"[{""tweet_id"": 677, ""author_id"": ""115847"", ""text"": ""Remember my head phones and they brought them within minutes"", ""inbound"": true}]",3,Tue Oct 31 21:39:25 +0000 2017
conv_681_680,681,115848,https://t.co/Gb0beuA3IN,680,AmazonHelp,I'm sorry for the trouble this has caused you; please contact us so we may lend you a hand: https://t.co/hApLpMlfHN ^WM,"[{""tweet_id"": 682, ""author_id"": ""115848"", ""text"": ""How @115821 packages china https://t.co/fO9vbus18E"", ""inbound"": true}]",3,Tue Oct 31 22:11:34 +0000 2017
conv_686_684,686,115849,Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,684,AmazonHelp,Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,"[{""tweet_id"": 689, ""author_id"": ""AmazonHelp"", ""text"": ""Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD"", ""inbound"": false}]",3,Tue Oct 31 22:06:53 +0000 2017
conv_685_687,685,115849,Details sent. Please check.,687,AmazonHelp,Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,"[{""tweet_id"": 684, ""author_id"": ""AmazonHelp"", ""text"": ""Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD"", ""inbound"": false}]",3,Wed Nov 01 05:26:45 +0000 2017
conv_690_689,690,115849,Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,689,AmazonHelp,Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,[],2,Tue Oct 31 21:45:15 +0000 2017
conv_693_692,693,115852,since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,692,AmazonHelp,We still offer discounts on eligible physical game pre-orders. For further details on Prime benefits: https://t.co/80y2YnlQGJ ^MB,[],2,Tue Oct 31 22:10:21 +0000 2017
conv_695_694,695,115853,Just pulled another #Amazon delivery out of the bushes since the #amzl people canât walk the extra 2 ft to my door. So tired of this.,694,AmazonHelp,I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN,[],2,Tue Oct 31 21:17:03 +0000 2017
conv_1695_1692,1695,116081,my order hasnât arrived (it was due 14th October). Can you help?,1692,AmazonHelp,Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,[],2,Tue Oct 31 22:40:01 +0000 2017
conv_1693_1696,1693,116081,but I canât find the options to cancel or re-order?,1696,AmazonHelp,I'm sorry for the delay! We'd like to take a further look into this with you! Please reach us here: https://t.co/hApLpMlfHN ^AG,"[{""tweet_id"": 1692, ""author_id"": ""AmazonHelp"", ""text"": ""Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ"", ""inbound"": false}]",3,Tue Oct 31 22:54:54 +0000 2017
conv_1699_1697,1699,116082,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund? https://t.co/SeoQUsA0VA,1697,AmazonHelp,Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,[],2,Tue Oct 31 22:34:38 +0000 2017
conv_1698_1700,1698,116082,Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,1700,AmazonHelp,Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,"[{""tweet_id"": 1697, ""author_id"": ""AmazonHelp"", ""text"": ""Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK"", ""inbound"": false}]",3,Tue Oct 31 22:47:50 +0000 2017
conv_1701_1704,1701,116082,You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,1704,AmazonHelp,It would be best if you get in touch with us by phone or chat.use this link to do so: https://t.co/hApLpMlfHN ^CH,"[{""tweet_id"": 1700, ""author_id"": ""AmazonHelp"", ""text"": ""Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ"", ""inbound"": false}]",3,Tue Oct 31 22:58:06 +0000 2017
conv_1706_1705,1706,116083,"I have tried. Itâs not allowing me to access my account to cancel my membership, I havenât even used prime in almost 3 months.",1705,AmazonHelp,I'm sorry to hear you're not able to access your account. Please use this link instead to contact us: https://t.co/zYVX1Qi29G. ^LH,"[{""tweet_id"": 1707, ""author_id"": ""AmazonHelp"", ""text"": ""Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP"", ""inbound"": false}]",3,Tue Oct 31 22:33:08 +0000 2017
conv_1708_1707,1708,116083,"being charged for amazon prime &amp; when I go to cancel it, itâs saying Iâm not a memberð ð ð",1707,AmazonHelp,Hmm... We'd like to take a better look at this with you. Please reach us via phone/chat here: https://t.co/JzP7hlA23B ^KP,[],2,Tue Oct 31 19:08:41 +0000 2017
conv_1710_1709,1710,116084,where can I chat with a support member for a false charge,1709,AmazonHelp,I'm sorry you've encountered an unknown charge! We'd be happy to look into this with you here: https://t.co/hApLpMlfHN ^BL,[],2,Tue Oct 31 22:33:35 +0000 2017
conv_1713_1711,1713,116085,if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,1711,AmazonHelp,Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,[],2,Tue Oct 31 21:21:34 +0000 2017
conv_1715_1714,1715,116086,Seriously @115821? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,1714,AmazonHelp,Sorry for the inconvenience! Check out how to manage your notifications here: https://t.co/DLN4bDuc5B ^SG,[],2,Tue Oct 31 21:14:40 +0000 2017
conv_1718_1716,1718,116087,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",1716,AmazonHelp,I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM,[],2,Tue Oct 31 22:33:25 +0000 2017
conv_1717_1719,1717,116087,"My package just got here. All good, thank you!",1719,AmazonHelp,"Thank you for keeping us posted, Rachael! ^BA","[{""tweet_id"": 1716, ""author_id"": ""AmazonHelp"", ""text"": ""I'm sorry for the long wait; what is your current order status showing when you review it: https://t.co/Y5jpI9gRhE? ^WM"", ""inbound"": false}]",3,Tue Oct 31 22:40:54 +0000 2017
conv_1722_1720,1722,116088,"Saying I preordered to early, terrible customer service. Wonât renew prime if this isnât fixed.",1720,AmazonHelp,"I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA","[{""tweet_id"": 1733, ""author_id"": ""116088"", ""text"": ""I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won\u00e2\u0080\u0099t get bonus"", ""inbound"": true}]",3,Tue Oct 31 22:16:51 +0000 2017
conv_1721_1723,1721,116088,Never got the beta and now Iâm being told I wonât get ANY of the other stuff. Including Last Jedi content and or bonus classes. Anything! :(,1723,AmazonHelp,"We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB","[{""tweet_id"": 1720, ""author_id"": ""AmazonHelp"", ""text"": ""I'm sorry for the frustration, Anthony! Can you tell me more about which pre-order bonuses are missing? ^EA"", ""inbound"": false}]",3,Tue Oct 31 22:37:35 +0000 2017
conv_1724_1725,1724,116088,Deluxe edition on September 16th. It definitely had the pre orders on the profile because thatâs why I ordered. Also why I paid for Prime..,1725,AmazonHelp,Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB,"[{""tweet_id"": 1723, ""author_id"": ""AmazonHelp"", ""text"": ""We'd like to see what we can do to help. What date did you place the order on, and which version did you order? ^MB"", ""inbound"": false}]",3,Tue Oct 31 22:48:50 +0000 2017
conv_1726_1727,1726,116088,Star Wars Battlefront 2 Elite Trooper Deluxe Edition Playstation 4 https://t.co/6K7WdDcY2P preorder info is in description. Thanks for help,1727,AmazonHelp,Thanks for the link. We are not a participating retailer to receive the bonus content. Details: https://t.co/hJIrBtSMrl ^BE,"[{""tweet_id"": 1725, ""author_id"": ""AmazonHelp"", ""text"": ""Could you link us to the page of the item on our website? This will allow us to take a closer look at all options. ^VB"", ""inbound"": false}]",3,Tue Oct 31 23:05:46 +0000 2017
conv_1736_1734,1736,116091,Two fake items in one day. Time to cancel my Amazon Prime membership. @AmazonHelp,1734,AmazonHelp,Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH,[],2,Tue Oct 31 22:21:42 +0000 2017
conv_1735_1737,1735,116091,"Fulfilled by Amazon. Itâs quite disturbing youâre selling counterfeit items, and canât be trusted.",1737,AmazonHelp,"We'd like to look into this with you in real time, Bry. When you can, please ring or chat in with us: https://t.co/JzP7hlA23B ^BL","[{""tweet_id"": 1734, ""author_id"": ""AmazonHelp"", ""text"": ""Oh no! I'm so sorry to hear this. Was the item sold by Amazon directly or Third-party seller: https://t.co/aaDyEz1VgE. ^LH"", ""inbound"": false}]",3,Tue Oct 31 22:41:11 +0000 2017
conv_1741_1739,1741,116092,please spend time &amp; money to fix your app. Constant issues with it.,1739,AmazonHelp,"Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL",[],2,Tue Oct 31 22:20:43 +0000 2017
conv_1740_1742,1740,116092,I have. No luck.,1742,AmazonHelp,Sorry you're still having trouble! What error are you seeing when you try to use the app? ^JP,"[{""tweet_id"": 1739, ""author_id"": ""AmazonHelp"", ""text"": ""Oh no, Barton! Have you tried uninstalling and re-installing the app? Perhaps a power cycle too? Please let us know. ^KL"", ""inbound"": false}]",3,Sat Nov 04 00:53:12 +0000 2017
conv_1745_1743,1745,116093,My Kindle not working properly is breaking my heart! ð©ð,1743,AmazonHelp,"Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ",[],2,Tue Oct 31 22:30:23 +0000 2017
conv_1744_1746,1744,116093,Itâs not allowing me to update it to register my new amazon account. I read Iâd have to do so manually. Thx 4 response.,1746,AmazonHelp,No problem! You may need to deregister the Kindle from the old account. You can see how here: https://t.co/zyUJKBZObw ^AJ,"[{""tweet_id"": 1743, ""author_id"": ""AmazonHelp"", ""text"": ""Oh no! We'd like to help you with this, Kelly! Can you tell us more about what's happening with the Kindle? Thanks! ^AJ"", ""inbound"": false}]",3,Tue Oct 31 22:50:15 +0000 2017
conv_1748_1747,1748,116094,that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!! https://t.co/EIY6DZUCDC,1747,AmazonHelp,"(2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT",[],2,Tue Oct 31 22:07:19 +0000 2017
conv_1752_1750,1752,116095,Truly. This is the strangest vampire book Iâve ever received. ð cc @43760 @AmazonHelp #misship https://t.co/Zad7Az14Zg,1750,AmazonHelp,I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,"[{""tweet_id"": 1753, ""author_id"": ""116096"", ""text"": ""This is the Japanese vampire book I blurbed. Different, touching, and perfectly constructed. https://t.co/lZAfyKtMpe"", ""inbound"": true}]",3,Tue Oct 31 22:06:28 +0000 2017
